sampleName	Scer	Spar	site	latitude	longitude	SOURCE	CONTEXT	GENOTYPE	GENOTYPE_STUDY
30	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
31	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
32	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
33	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
34	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
35	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
36	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
37	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
38	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
39	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
40	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
41	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
42	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
43	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
44	0	1	LosinyOstrov	55.5149	37.4639	leaf	wild	unknown	glushakova_2007
159.01	1	0	Blagoveshenk	50.22	123.31	bark	agriculturalcollege	unknown	NA
163.01	1	0	Blagoveshenk	50.22	123.31	bark	agriculturalcollege	unknown	NA
124-40A	1	0	OkitsuJP	35.055169	138.523746	soil	agriculturalcollege	unknown	NA
124-40EA	1	0	OkitsuJP	35.055169	138.523746	soil	agriculturalcollege	unknown	NA
138A	0	1	HamiltonONa	43.24747	-79.7489	bark	wild	Namerica	Maganti2011
138C	0	1	HamiltonONa	43.24028	-79.7489	bark	wild	Namerica	Maganti2011
139C	0	1	HamiltonONa	43.24028	-79.7489	bark	wild	Namerica	Maganti2011
143B	0	1	HamiltonONa	43.24028	-79.7489	bark	wild	Namerica	Maganti2011
145A	0	1	HamiltonONa	43.26286	-79.9207	bark	wild	Namerica	Maganti2011
163B	0	1	HamiltonONa	43.24028	-79.8873	bark	wild	Namerica	Maganti2011
164A	0	1	HamiltonONa	43.24028	-79.8873	bark	wild	Namerica	Maganti2011
164B	0	1	HamiltonONa	43.24747	-79.7489	bark	wild	Namerica	Maganti2011
165C	0	1	HamiltonONa	43.24028	-79.8873	bark	wild	Namerica	Maganti2011
175A	0	1	HamiltonONa	43.24747	-79.7489	bark	wild	Namerica	Maganti2011
176A	0	1	HamiltonONa	43.24028	-79.8873	bark	wild	Namerica	Maganti2011
187A	0	1	HamiltonONa	43.24747	-79.7489	bark	wild	Namerica	Maganti2011
42C	0	1	HamiltonONa	43.26191	-79.9193	bark	wild	Namerica	Maganti2011
83-25A	1	0	OkitsuJP	35.055169	138.523746	soil	agriculturalcollege	unknown	NA
92B	0	1	HamiltonONa	43.24028	-79.8873	bark	wild	Namerica	Maganti2011
95-1-5A	0	1	SaugatuckMI	42.659135	-86.204566	bark	unknown	NAmericaB	Kuehne2007
95-7-1D	0	1	EastLansingMI	42.749324	-84.485459	bark	unknown	NAmericaB	Kuehne2007
95A	0	1	HamiltonONa	43.24028	-79.8873	bark	wild	Namerica	Maganti2011
A12	0	1	MSHQuebec	45.552235	-73.155433	bark	unknown	NAmericaB	Liti2009
A4	0	1	MSHQuebec	45.552235	-73.155433	bark	unknown	NAmericaB	Liti2009
AI58	1	0	MB	43.64701	3.20304	Bark	wild	EuropeanOak	Almeida1
ALKO2638	0	1	ViherlaaksoEspoo	60.122	24.392	Bark	wild	unknown	Naumov1992
ALKO2639	0	1	ViherlaaksoEspoo	60.122	24.392	Bark	wild	unknown	Naumov1992
AY529515	1	0	DedesoGhana	6.966667	-0.216667	fermentation	fermentation	mosaic	Cromie2013
AY529516	1	0	DedesoGhana	6.966667	-0.216667	fermentation	fermentation	mosaic	Cromie2013
AY529517	1	0	DedesoGhana	6.966667	-0.216667	fermentation	fermentation	mosaic	Cromie2013
AY529518	1	0	DedesoGhana	6.966667	-0.216667	fermentation	fermentation	mosaic	Cromie2013
Bark1	1	0	MattuaNZ	-36.742366	174.506514	bark	vineyard	mosaic	Cromie2013
Bark2	1	0	MattuaNZ	-36.742366	174.506514	bark	vineyard	mosaic	Cromie2013
BF2	1	0	BorderCA	32.544928	-117.122015	soil	naturereserve	mosaic	Cromie2013
BF3	1	0	BorderCA	32.544928	-117.122015	soil	naturereserve	mosaic	Cromie2013
BF4	1	0	BorderCA	32.544928	-117.122015	soil	naturereserve	mosaic	Cromie2013
BF5	1	0	BorderCA	32.544928	-117.122015	soil	naturereserve	mosaic	Cromie2013
BF6	1	0	BorderCA	32.544928	-117.122015	soil	naturereserve	mosaic	Cromie2013
BF7	1	0	BorderCA	32.544928	-117.122015	soil	naturereserve	mosaic	Cromie2013
BF8	1	0	BorderCA	32.544928	-117.122015	soil	naturereserve	mosaic	Cromie2013
BF9	1	0	BorderCA	32.544928	-117.122015	soil	naturereserve	mosaic	Cromie2013
BJ1	1	0	ShunyiBeijing	40.182314	116.731358	fruit	unknown	sake	Wang2012
BJ10	1	0	WulingBeijing	40.61593	117.482817	bark	wild	CHNVIII	Wang2012
BJ12	1	0	WulingBeijing	40.61593	117.482817	bark	wild	CHNIV	Wang2012
BJ13	1	0	WulingBeijing	40.61593	117.482817	bark	wild	CHNVIII	Wang2012
BJ14	1	0	WulingBeijing	40.61593	117.482817	bark	wild	CHNIV	Wang2012
BJ15	1	0	DonglingBeijing	40.036233	115.461298	bark	wild	CHNIV	Wang2012
BJ16	1	0	DonglingBeijing	40.036233	115.461298	bark	wild	CHNIV	Wang2012
BJ17	1	0	DonglingBeijing	40.036233	115.461298	bark	wild	CHNIV	Wang2012
BJ18	1	0	DonglingBeijing	40.036233	115.461298	bark	wild	CHNIV	Wang2012
BJ19	1	0	DonglingBeijing	40.036233	115.461298	bark	wild	CHNIV	Wang2012
BJ2	1	0	ShunyiBeijing	40.182314	116.731358	fruit	unknown	CHNVIII	Wang2012
BJ20	1	0	DonglingBeijing	40.036233	115.461298	bark	wild	CHNIV	Wang2012
BJ21	1	0	DonglingBeijing	40.036233	115.461298	bark	wild	CHNIV	Wang2012
BJ22	1	0	DonglingBeijing	40.036233	115.461298	bark	wild	CHNIV	Wang2012
BJ23	1	0	DonglingBeijing	40.036233	115.461298	bark	wild	CHNIV	Wang2012
BJ24	1	0	DonglingBeijing	40.036233	115.461298	bark	wild	CHNIV	Wang2012
BJ26	1	0	DonglingBeijing	40.036233	115.461298	fruit	unknown	CHNIV	Wang2012
BJ27	1	0	DonglingBeijing	40.036233	115.461298	fruit	unknown	CHNIV	Wang2012
BJ28	1	0	WulingBeijing	40.61593	117.482817	bark	wild	CHNVIII	Wang2012
BJ3	1	0	ShunyiBeijing	40.182314	116.731358	fruit	unknown	CHNIV	Wang2012
BJ4	1	0	HaidianBeijing	39.96118	116.290269	insect	wild	CHNVI	Wang2012
BJ5	1	0	WulingBeijing	40.61593	117.482817	fruit	wild	CHNVIII	Wang2012
BJ6	1	0	ChanpingBeijing	40.229499	116.222587	fruit	unknown	CHNIV	Wang2012
BJ7	1	0	ShunyiBeijing	40.182314	116.731358	bark	unknown	mosaic	Wang2012
BJ8	1	0	WulingBeijing	40.61593	117.482817	bark	wild	CHNIV	Wang2012
BJ9	1	0	WulingBeijing	40.61593	117.482817	bark	wild	CHNVIII	Wang2012
Buttercup1	1	0	MattuaNZ	-36.742366	174.506514	flower	vineyard	NZ	Cromie2013
Buttercup2	1	0	MattuaNZ	-36.742366	174.506514	flower	vineyard	NZ	Cromie2013
BW-1	1	0	BlackWaterMO	38.979604	-92.990974	bark	unknown	NAmerica1	Cromie2013
CBS406	0	1	Netherlands	52.189425	5.3343	bark	unknown	Europe	Naumov1997
CBS432	0	1	Moscow	55.765247	37.629748	bark	unknown	Europe	Liti2009
CBS5829	0	1	Denmark	56.065609	9.131063	soil	unknown	Europe	Naumov1997
CBS5829	0	1	Denmark	56.065609	9.1311	soil	unknown	Europe	West2013
CBS7764	1	0	GothenburgSweden	57.723962	11.9699	fishgut	unknown	human4	Cromie2013
CBS7960	1	0	SaoPauloBrazil	-23.571588	-46.671717	factory	unknown	mosaic	Cromie2013
CCY-214-89	1	0	Pyongsang	39.252	125.85	bark	wild	unknown	NA
CCY-214-93	1	0	Pyongsang	39.252	125.85	bark	wild	unknown	NA
chr118.2	0	1	Valledeanso	42.7629	-0.82977	bark	wild	EuropeanOak	Almeida2001
CP-1	1	0	ChickiesPA	40.048466	-76.518373	bark	naturereserve	NAmerica2	Cromie2013
CRO12b	0	1	CRO	53.494435	-1.894223	Bark	wild	NA	NA
CRO1l	0	1	CRO	53.49475	-1.894403	Bark	wild	NA	NA
CRO2d	0	1	CRO	53.494066	-1.893636	Bark	wild	NA	NA
CRO2e	0	1	CRO	53.494066	-1.893636	Bark	wild	NA	NA
CRO2f	0	1	CRO	53.494066	-1.893636	Bark	wild	NA	NA
CRO3d	0	1	CRO	53.494075	-1.893606	Bark	wild	NA	NA
CRO3e	0	1	CRO	53.494075	-1.893606	Bark	wild	NA	NA
CRO4a	0	1	CRO	53.493364	-1.893156	Bark	wild	NA	NA
CRO7e	0	1	CRO	53.494372	-1.894239	Bark	wild	NA	NA
CRO8a	0	1	CRO	53.494327	-1.894178	Bark	wild	NA	NA
DAV1a	0	1	DAV	51.022117	0.197617	Bark	vineyard	NA	NA
DAV1e	1	0	DAV	51.022117	0.197617	Bark	vineyard	wine	Almeida1
DB18	0	1	HamiltonONa	43.26286	-79.9207	bark	wild	Namerica	Maganti2011
DBAC62	1	0	velGreece	38.13398	23.78009	fruit	unknown	wine	Almeida1
DBAE79	1	0	fgxGreece	38.12495	23.85544	fruit	unknown	EuropeanOak	Almeida1
DBAI44	1	0	PYR	40.37596	23.6925	Bark	wild	EuropeanOak	Almeida1
DBQ22	1	0	anGreece	40.2504	23.69257	fruit	wild	wine	Tilakaratna
DBQ26	1	0	PYR	40.37596	23.6925	Bark	wild	EuropeanOak	Tilakaratna
DBS11	1	0	anGreece	40.2504	23.69257	fruit	wild	mosaic	Tilakaratna
DBS14	1	0	anGreece	40.2504	23.69257	fruit	wild	mosaic	Tilakaratna
DBV25	1	0	Sonim	41.710836	-7.228847	figbark	unknown	mosaic	Almeida1
DBVPG10100	1	0	SubasioItaly	43.067205	12.652455	Bark	naturereserve	EuropeanOak	Almeida1
DBVPG1373	1	0	Wageningen	51.986696	5.663492	Soil	agriculturalcollege	wine	Tilakaratna
DBVPG1373	1	0	Netherlands	52.189425	5.334302	soil	unknown	EuropeanOak	Naumov1997
DBVPG1788	1	0	TurkuFinland	60.460762	22.269688	Soil	unknown	wine	Tilakaratna
DBVPG1790	1	0	KuopioFinland	62.5333	27.4042	Soil	unknown	unknown	NA
DBVPG1791	1	0	ViikiHelsinki	60.14	25.01	Soil	agriculturalcollege	unknown	Naumov1992
DBVPG1794	1	0	ViikiHelsinki	60.14	25.01	Soil	agriculturalcollege	unknown	Naumov1992
DBVPG6304	0	1	Yosemite	37.865359	-119.538361	insect	unknown	NAmericaB	Liti2009
DCM21	1	0	DoorWI	44.939151	-87.306544	fruit	unknown	mosaic	Cromie2013
DCM6	1	0	DoorWI	44.939151	-87.306544	fruit	unknown	mosaic	Cromie2013
DY8	1	0	DoorWI	44.939151	-87.306544	bark	unknown	NAmerica1	Cromie2013
EC-13	1	0	MtCarmelIsrael	32.729766	35.046688	leaf	unknown	Israel	Cromie2013
EC-14	1	0	MtCarmelIsrael	32.729766	35.046688	leaf	unknown	Israel	Cromie2013
EC-14p	1	0	MtCarmelIsrael	32.729766	35.046688	leaf	unknown	Israel	Cromie2013
EC-23	1	0	MtCarmelIsrael	32.729766	35.046688	soil	unknown	human4	Cromie2013
EC-3	1	0	MtCarmelIsrael	32.729766	35.046688	leaf	unknown	human4	Cromie2013
EC-33	1	0	MtCarmelIsrael	32.729766	35.046688	soil	unknown	Israel	Cromie2013
EC-34	1	0	MtCarmelIsrael	32.729766	35.046688	soil	unknown	Israel	Cromie2013
EC-35	1	0	MtCarmelIsrael	32.729766	35.046688	soil	unknown	Israel	Cromie2013
EC-36	1	0	MtCarmelIsrael	32.729766	35.046688	soil	unknown	mosaic	Cromie2013
EC-5	1	0	MtCarmelIsrael	32.729766	35.046688	leaf	unknown	human4	Cromie2013
EC-57	1	0	MtCarmelIsrael	32.729766	35.046688	soil	unknown	mosaic	Cromie2013
EC-58	1	0	MtCarmelIsrael	32.729766	35.046688	soil	unknown	mosaic	Cromie2013
EC-59	1	0	MtCarmelIsrael	32.729766	35.046688	soil	unknown	mosaic	Cromie2013
EC-60	1	0	MtCarmelIsrael	32.729766	35.046688	soil	unknown	Israel	Cromie2013
EC-63	1	0	MtCarmelIsrael	32.729766	35.046688	soil	unknown	Israel	Cromie2013
EM93	1	0	MercedCA	-120.29	37.17	fruit	unknown	Mosaic	Mrak
EXF6623	0	1	Zwalmennetherlands	51.14	6.02	bark	wild	Europe	Almeida2001
EXF6624	0	1	SchwalmtalGERMANY	51.1321	6.1545	bark	wild	Europe	Almeida2001
EXF6761	1	0	Slovenia	46.566054	15.94856	Bark	unknown	wine	Almeida1
EXF6780	1	0	VelikeSlovenia	45.835376	14.639759	Bark	unknown	mosaic	Almeida1
EXF7145	1	0	Serbia	45.16939	19.662561	Bark	wild	mosaic	Almeida1
EXF7197	1	0	JasenovoMontenegro	42.89579	18.963583	Bark	unknown	EuropeanOak	Almeida1
EXF7200	1	0	JasenovoMontenegro	42.89579	18.963583	Bark	unknown	EuropeanOak	Almeida1
FJ1	1	0	WuyiFujian	27.907309	117.893624	bark	wild	mosaic	Wang2012
FJ10	1	0	WuyiFujian	27.907309	117.893624	bark	wild	CHNI	Wang2012
FJ11	1	0	WuyiFujian	27.907309	117.893624	fruit	wild	mosaic	Wang2012
FJ12	1	0	WuyiFujian	27.907309	117.893624	fruit	wild	mosaic	Wang2012
FJ2	1	0	WuyiFujian	27.907309	117.893624	bark	wild	CHNV	Wang2012
FJ3	1	0	WuyiFujian	27.907309	117.893624	bark	wild	CHNV	Wang2012
FJ4	1	0	WuyiFujian	27.907309	117.893624	bark	wild	CHNV	Wang2012
FJ5	1	0	WuyiFujian	27.907309	117.893624	bark	wild	CHNI	Wang2012
FJ6	1	0	WuyiFujian	27.907309	117.893624	bark	wild	CHNV	Wang2012
FJ7	1	0	WuyiFujian	27.907309	117.893624	bark	wild	CHNI	Wang2012
FJ8	1	0	WuyiFujian	27.907309	117.893624	bark	wild	CHNI	Wang2012
FJ9	1	0	WuyiFujian	27.907309	117.893624	bark	wild	CHNI	Wang2012
FRI11b	0	1	FRI	50.928483	-1.655183	Bark	wild	NA	NA
FRI12c	0	1	FRI	50.92875	-1.655667	Bark	wild	NA	NA
FRI14d	0	1	FRI	50.929333	-1.655383	Bark	wild	NA	NA
FRI1c	0	1	FRI	50.928117	-1.656017	Bark	wild	NA	NA
FRI2d	0	1	FRI	50.928033	-1.655867	Bark	wild	NA	NA
FRI3a	0	1	FRI	50.928233	-1.6559	Bark	wild	NA	NA
FRI4d	0	1	FRI	50.928267	-1.655633	Bark	wild	NA	NA
FRI6a	0	1	FRI	50.928783	-1.6559	Bark	wild	NA	NA
G205	1	0	Ghana	7.087089	-0.273113	fermentation	fermentation	mosaic	Cromie2013
G86	1	0	Ghana	7.087089	-0.273113	fermentation	fermentation	mosaic	Cromie2013
G89	1	0	Ghana	7.087089	-0.273113	fermentation	fermentation	mosaic	Cromie2013
GMA0401	1	0	Srilanka	6.5459	79.5316	fermentation	fermentation	unknown	NA
GU213449.1	1	0	UniAukNZ	-36.505957	174.46159	bark	landscaped	wine	Zhang2010
GU213453.1	1	0	UniAukNZ	-36.505957	174.46159	bark	landscaped	wine	Zhang2010
HLJ1	1	0	JingboHeilongjiang	43.864622	128.912759	bark	unknown	CHNIV	Wang2012
HLJ2	1	0	JingboHeilongjiang	43.864622	128.912759	bark	unknown	CHNVII	Wang2012
HLJ3	1	0	JingboHeilongjiang	43.864622	128.912759	bark	unknown	CHNVII	Wang2012
HN1	1	0	DiaoluoHainan	18.661954	109.936468	bark	wild	CHNI	Wang2012
HN10	1	0	WuzhiHainan	18.900513	109.704465	bark	wild	CHNIII	Wang2012
HN11	1	0	JianfenglingHainan	18.70727	108.829675	bark	wild	CHNIII	Wang2012
HN12	1	0	JianfenglingHainan	18.70727	108.829675	bark	wild	CHNV	Wang2012
HN13	1	0	JianfenglingHainan	18.70727	108.829675	bark	wild	CHNV	Wang2012
HN14	1	0	JianfenglingHainan	18.70727	108.829675	bark	wild	CHNV	Wang2012
HN15	1	0	WuzhiHainan	18.900513	109.704465	bark	wild	CHNV	Wang2012
HN16	1	0	WuzhiHainan	18.900513	109.704465	bark	wild	CHNV	Wang2012
HN17	1	0	WuzhiHainan	18.900513	109.704465	bark	wild	CHNV	Wang2012
HN18	1	0	WuzhiHainan	18.900513	109.704465	bark	wild	CHNV	Wang2012
HN19	1	0	WuzhiHainan	18.900513	109.704465	bark	wild	CHNIII	Wang2012
HN2	1	0	DiaoluoHainan	18.661954	109.936468	bark	wild	CHNI	Wang2012
HN3	1	0	DiaoluoHainan	18.661954	109.936468	bark	wild	CHNI	Wang2012
HN4	1	0	BawanglingHainan	19.134948	109.261945	bark	wild	CHNI	Wang2012
HN5	1	0	BawanglingHainan	19.134948	109.261945	bark	wild	CHNI	Wang2012
HN6	1	0	BawanglingHainan	19.134948	109.261945	bark	wild	CHNI	Wang2012
HN7	1	0	BawanglingHainan	19.134948	109.261945	bark	wild	CHNI	Wang2012
HN8	1	0	WuzhiHainan	18.900513	109.704465	bark	wild	CHNIII	Wang2012
HN9	1	0	WuzhiHainan	18.900513	109.704465	bark	wild	CHNIII	Wang2012
HUN9	1	0	DebrecenHungary	47.539259	21.652972	Bark	wild	EuropeanOak	Tilakaratna
I14	1	0	PetinaItaly	40.532698	15.374938	soil	vineyard	mosaic	Cromie2013
IL-01	1	0	CahokiaIL	38.567998	-90.179325	bark	unknown	mosaic	Cromie2013
IN-1	1	0	Indianapolis	39.781895	-86.156439	bark	unknown	mosaic	Cromie2013
INMIV1121	0	1	KievUkraine	50.363062	30.416946	bark	unknown	Europe	Naumov1997
INMIV544	0	1	KievUkraine	50.363062	30.416946	bark	unknown	Europe	Naumov1997
IY-36	1	0	WalkerLouisiana	30.489483	-90.864817	insect	unknown	NAmerica1	Cromie2013
IY-41	1	0	WalkerLouisiana	30.489483	-90.864817	insect	unknown	NAmerica1	Cromie2013
JL1	1	0	ChangbaiJilin	42.051891	127.787359	bark	wild	mosaic	Wang2012
JL2	1	0	ChangbaiJilin	42.051891	127.787359	fruit	wild	sake	Wang2012
JL3	1	0	ChangbaiJilin	42.051891	127.787359	fruit	wild	mosaic	Wang2012
JL4	1	0	YanbianJilin	42.915769	129.481083	bark	unknown	CHNVII	Wang2012
JL5	1	0	YanbianJilin	42.915769	129.481083	bark	unknown	CHNIV	Wang2012
KEH00012	1	0	ChaumMO	37.767545	-90.160674	Bark	vineyard	NAmerica1	Cromie2013
KEH00088	1	0	ChaumMO	37.767545	-90.160674	bark	vineyard	mosaic	Cromie2013
KEH00221	1	0	ChaumMO	37.767545	-90.160674	bark	vineyard	wine	Cromie2013
KEH00290	1	0	ChaumMO	37.767545	-90.160674	fruit	vineyard	wine	Cromie2013
KEH00400	1	0	ChaumMO	37.767545	-90.160674	Bark	vineyard	NAmerica1	Cromie2013
KEH00411	1	0	ChaumMO	37.767545	-90.160674	Bark	vineyard	NAmerica1	Cromie2013
KEH00415	1	0	ChaumMO	37.767545	-90.160674	fruit	vineyard	mosaic	Cromie2013
KEH00463	1	0	MountPlMO	38.570703	-90.885598	Bark	vineyard	NAmerica1	Cromie2013
KEH00463	1	0	MountPlMO	38.570703	-90.885598	Bark	vineyard	NAmerica1	Cromie2013
KEH00497	1	0	MountPlMO	38.570703	-90.885598	Bark	vineyard	NAmerica1	Cromie2013
KEH00673	1	0	MountPlMO	38.570703	-90.885598	Bark	vineyard	NAmerica1	Cromie2013
KEH00729	1	0	MountPlMO	38.570703	-90.885598	Bark	vineyard	NAmerica1	Cromie2013
KEH01027	1	0	WashingtMO	37.975854	-90.867941	Bark	wild	NAmerica1	Cromie2013
KEH01135	1	0	TysonMO	38.524995	-90.562456	vineyard	vineyard	NAmerica1	Cromie2013
KEH01146	1	0	TysonMO	38.524995	-90.562456	Bark	wild	NAmerica	Cromie2013
KEH01172	1	0	WashingtMO	37.975854	-90.867941	Bark	wild	NAmerica1	Cromie2013
KEH01205	1	0	WashingtMO	37.975854	-90.867941	Bark	wild	NAmerica1	Cromie2013
KEH01267	1	0	WashingtMO	37.975854	-90.867941	Bark	wild	NAmerica1	Cromie2013
KEH01422	1	0	WashingtMO	37.975854	-90.867941	Bark	wild	NAmerica1	Cromie2013
KEH01639	1	0	WhistlOR	44.963607	-123.164822	bark	vineyard	wine	Cromie2013
KEH01876	1	0	TyeeOR	44.458748	-123.323324	bark	vineyard	wine	Cromie2013
KEH01958	1	0	TyeeOR	44.458748	-123.323324	bark	vineyard	wine	Cromie2013
KEH02439	1	0	BentonOR	44.493053	-123.396281	Bark	wild	NAmerica1	Cromie2013
KEH02441	1	0	BentonOR	44.493053	-123.396281	Bark	wild	NAmerica1	Cromie2013
KEH02503	1	0	BentonOR	44.493053	-123.396281	Bark	wild	NAmerica1	Cromie2013
KEH02509	1	0	BentonOR	44.493053	-123.396281	Bark	wild	NAmerica1	Cromie2013
KEH02518	1	0	BentonOR	44.493053	-123.396281	Bark	wild	NAmerica1	Cromie2013
KEH02575	1	0	ChaumMO	37.767545	-90.160674	fermentation	vineyard	EuropeanOak	Cromie2013
KEH02580	1	0	ChaumMO	37.767545	-90.160674	fruit	vineyard	wine	Cromie2013
KEH02583	1	0	ChaumMO	37.767545	-90.160674	fruit	vineyard	wine	Cromie2013
KEH02587	1	0	ChaumMO	37.767545	-90.160674	fruit	vineyard	wine	Cromie2013
KEH02588	1	0	ChaumMO	37.767545	-90.160674	fruit	vineyard	wine	Cromie2013
KEH02595	1	0	ChaumMO	37.767545	-90.160674	fruit	vineyard	NAmerica1	Cromie2013
KEH02635	1	0	ChaumMO	37.767545	-90.160674	bark	vineyard	wine	Cromie2013
KEH02707	1	0	ChaumMO	37.767545	-90.160674	fruit	vineyard	NAmerica1	Cromie2013
KEH02714	1	0	ChaumMO	37.767545	-90.160674	fruit	vineyard	wine	Cromie2013
KEH02724	1	0	ChaumMO	37.767545	-90.160674	fruit	vineyard	wine	Cromie2013
KEH02773	1	0	ChaumMO	37.767545	-90.160674	fruit	vineyard	NAmerica1	Cromie2013
KEH02809	1	0	ChaumMO	37.767545	-90.160674	fruit	vineyard	mosaic	Cromie2013
KEH02884	1	0	ChaumMO	37.767545	-90.160674	fruit	vineyard	mosaic	Cromie2013
KEH02887	1	0	ChaumMO	37.767545	-90.160674	fruit	vineyard	wine	Cromie2013
KEH02926	1	0	ChaumMO	37.767545	-90.160674	fruit	vineyard	NAmerica1	Cromie2013
KEH02978	1	0	ChaumMO	37.767545	-90.160674	bark	vineyard	wine	Cromie2013
KEH03027	1	0	TysonMO	38.524995	-90.562456	vineyard	vineyard	NAmerica1	Cromie2013
KEH03066	1	0	TysonMO	38.524995	-90.562456	bark	wild	mosaic	Cromie2013
KPN3828	0	1	Novosibirsk	55.038892	82.959018	bark	unknown	Europe	Liti2009
KPN3829	0	1	Novosibirsk	55.038892	82.959018	bark	unknown	Europe	Liti2009
LAS-PA	1	0	SeattleWA	47.605127	-122.325949	fruit	unknown	mosaic	Cromie2013
LAS-PR	1	0	SeattleWA	47.605127	-122.325949	flower	unknown	NAmerica2	Cromie2013
LBW1f	0	1	LBW	53.377192	-1.692893	Bark	wild	NA	NA
LBW2a	0	1	LBW	53.378582	-1.688072	Bark	wild	NA	NA
LBW2ha	0	1	LBW	53.378582	-1.688072	Bark	wild	NA	NA
LBW2jb	0	1	LBW	53.378582	-1.688072	Bark	wild	NA	NA
LBW2oa	0	1	LBW	53.378582	-1.688072	Bark	wild	NA	NA
LBW2pc	0	1	LBW	53.378582	-1.688072	Bark	wild	NA	NA
LBW2qa	0	1	LBW	53.378582	-1.688072	Bark	wild	NA	NA
LBW2qb	0	1	LBW	53.378582	-1.688072	Bark	wild	NA	NA
LL11_001	0	1	Quebec	46.812678	-71.243076	bark	unknown	NAmericaC	Leducq2014
LL11_002	0	1	CapChat	49.058307	-66.713487	bark	unknown	NAmericaC	Leducq2014
LL11_003	0	1	CapChat	49.058307	-66.713487	bark	unknown	NAmericaC	Leducq2014
LL11_004	0	1	CapChat	49.058307	-66.713487	slug	unknown	NAmericaC	Leducq2014
LL11_005	0	1	IledOrleans	46.940502	-70.934466	bark	unknown	NAmericaC	Leducq2014
LL11_006	0	1	IledOrleans	46.940502	-70.934466	fruit	unknown	NAmericaC	Leducq2014
LL11_007	0	1	IledOrleans	46.940502	-70.934466	bark	unknown	NAmericaC	Leducq2014
